Record_ID,Bottle_ID,Customer_Name,Customer_Code,Service_Class,Product_Name,Category,Brand,Bottle_Size,Fill_Level,Seal_Status,Cleanliness_Score,Label_Status,Bottle_Condition,Inbound_Flight,Origin,Destination,SLA_Reuse_Policy,Recommended_Action
0026,CHAM_1026,British Airways,BA,First,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,70%,Sealed,Excellent,Heavily_Damaged,Excellent,BA427,DOH,LHR,Refill if fill between 60–80% and reseal,Refill
0027,CHAM_1027,Lufthansa,LH,Business,Taittinger Champagne 750ml,Champagne,Taittinger,750,100%,Sealed,Poor,Intact,Acceptable,LH640,LHR,IST,Refill if fill <90% using incoming bottles and reseal,Keep
0028,WINE_1028,Qatar Airways,QR,Business,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,75%,Sealed,Poor,Heavily_Damaged,Excellent,QR444,DXB,IST,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0029,SPIR_1029,British Airways,BA,Business,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,70%,Opened,Good,Intact,Acceptable,BA555,DOH,IST,Reuse if >70% fill and sealed,Keep
0030,LIQU_1030,Cathay Pacific,CX,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,70%,Sealed,Fair,Intact,Acceptable,CX903,FRA,SIN,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0031,LIQU_1031,Lufthansa,LH,First,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,55%,Sealed,Fair,Slightly_Damaged,Acceptable,LH810,IST,DXB,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0032,CHAM_1032,Swiss Intl Air Lines,LX,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,70%,Resealed,Good,Heavily_Damaged,Acceptable,LX332,ZRH,HKG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0033,CHAM_1033,Lufthansa,LH,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,95%,Sealed,Poor,Slightly_Damaged,Acceptable,LH118,CDG,FRA,Reuse if >70% fill and sealed,Keep
0034,CHAM_1034,British Airways,BA,Business,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,55%,Resealed,Poor,Slightly_Damaged,Excellent,BA874,IST,JFK,Replace if fill <80% or label damaged,Replace
0035,CHAM_1035,British Airways,BA,Business,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,80%,Opened,Poor,Slightly_Damaged,Poor,BA686,FRA,ZRH,Refill if fill <90% using incoming bottles and reseal,Refill
0036,WINE_1036,Turkish Airlines,TK,Business,Château Rivière Wine 750ml,Wine,Château Rivière,750,70%,Sealed,Good,Heavily_Damaged,Acceptable,TK414,SIN,FRA,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0037,SPIR_1037,Etihad Airways,EY,Business,Johnnie Walker Spirits 1000ml,Spirits,Johnnie Walker,1000,55%,Sealed,Poor,Intact,Acceptable,EY406,ZRH,ZRH,Replace if fill <80% or label damaged,Replace
0038,LIQU_1038,Air France,AF,Business,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,95%,Opened,Poor,Intact,Acceptable,AF151,LHR,CDG,Discard all opened bottles,Discard
0039,CHAM_1039,Etihad Airways,EY,First,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,60%,Sealed,Good,Heavily_Damaged,Acceptable,EY413,DXB,JFK,Refill if fill <90% using incoming bottles and reseal,Refill
0040,CHAM_1040,Turkish Airlines,TK,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,50%,Opened,Good,Heavily_Damaged,Excellent,TK808,CDG,HKG,Keep if fill >85% and resealed,Keep
0041,SPIR_1041,Turkish Airlines,TK,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,60%,Sealed,Good,Slightly_Damaged,Acceptable,TK612,DOH,IST,Discard all opened bottles,Discard
0042,LIQU_1042,Etihad Airways,EY,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,85%,Sealed,Poor,Intact,Poor,EY366,LHR,FRA,Keep all sealed bottles unopened,Keep
0043,CHAM_1043,Air France,AF,Business,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,85%,Opened,Fair,Slightly_Damaged,Poor,AF285,DOH,DOH,Discard all opened bottles,Discard
0044,LIQU_1044,Etihad Airways,EY,First,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,75%,Resealed,Good,Intact,Acceptable,EY540,ZRH,DXB,Refill if fill between 60–80% and reseal,Refill
0045,LIQU_1045,Singapore Airlines,SQ,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,70%,Sealed,Good,Heavily_Damaged,Excellent,SQ693,FRA,CDG,Reuse if >70% fill and sealed,Keep
0046,SPIR_1046,Singapore Airlines,SQ,First,Tanqueray Spirits 1000ml,Spirits,Tanqueray,1000,75%,Resealed,Good,Slightly_Damaged,Poor,SQ689,IST,IST,Reuse if >70% fill and sealed,Keep
0047,WINE_1047,British Airways,BA,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,60%,Opened,Fair,Slightly_Damaged,Acceptable,BA261,CDG,LHR,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0048,WINE_1048,British Airways,BA,First,Villa Maria Wine 1000ml,Wine,Villa Maria,1000,70%,Sealed,Fair,Heavily_Damaged,Acceptable,BA708,CDG,HKG,Replace if fill <80% or label damaged,Replace
0049,CHAM_1049,Cathay Pacific,CX,First,Laurent-Perrier Champagne 750ml,Champagne,Laurent-Perrier,750,95%,Opened,Excellent,Slightly_Damaged,Poor,CX793,CDG,ZRH,Keep if fill >85% and resealed,Keep
0050,WINE_1050,Singapore Airlines,SQ,First,Penfolds Wine 750ml,Wine,Penfolds,750,90%,Resealed,Fair,Heavily_Damaged,Excellent,SQ508,ZRH,HKG,Keep all sealed bottles unopened,Keep
0051,CHAM_1051,Swiss Intl Air Lines,LX,Business,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,70%,Opened,Poor,Heavily_Damaged,Poor,LX131,CDG,FRA,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0052,WINE_1052,Emirates,EK,First,Cloudy Bay Wine 1000ml,Wine,Cloudy Bay,1000,65%,Resealed,Good,Heavily_Damaged,Poor,EK497,IST,JFK,Discard all opened bottles,Discard
0053,LIQU_1053,Swiss Intl Air Lines,LX,Business,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,85%,Sealed,Fair,Heavily_Damaged,Poor,LX690,DXB,IST,Refill if fill between 60–80% and reseal,Refill
0054,LIQU_1054,Swiss Intl Air Lines,LX,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,70%,Sealed,Fair,Intact,Poor,LX455,IST,IST,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0055,SPIR_1055,Singapore Airlines,SQ,First,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,70%,Opened,Fair,Heavily_Damaged,Acceptable,SQ314,CDG,SIN,Keep all sealed bottles unopened,Keep
0056,CHAM_1056,Lufthansa,LH,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,65%,Sealed,Fair,Heavily_Damaged,Acceptable,LH780,ZRH,ZRH,Reuse if >70% fill and sealed,Keep
0057,LIQU_1057,Etihad Airways,EY,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,70%,Opened,Fair,Heavily_Damaged,Excellent,EY268,LHR,DOH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0058,WINE_1058,British Airways,BA,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,100%,Opened,Good,Intact,Poor,BA248,SIN,FRA,Refill if fill between 60–80% and reseal,Keep
0059,LIQU_1059,Swiss Intl Air Lines,LX,Business,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,60%,Sealed,Fair,Intact,Excellent,LX687,JFK,JFK,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0060,WINE_1060,Air France,AF,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,95%,Opened,Fair,Intact,Poor,AF123,SIN,HKG,Keep if fill >85% and resealed,Keep
0061,LIQU_1061,Qatar Airways,QR,Business,Baileys Liqueur 750ml,Liqueur,Baileys,750,75%,Resealed,Excellent,Slightly_Damaged,Excellent,QR779,JFK,CDG,Reuse if >70% fill and sealed,Keep
0062,LIQU_1062,Cathay Pacific,CX,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,70%,Opened,Good,Heavily_Damaged,Poor,CX454,DXB,JFK,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0063,WINE_1063,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,80%,Resealed,Fair,Intact,Excellent,SQ533,DXB,DOH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0064,CHAM_1064,Qatar Airways,QR,First,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,55%,Sealed,Poor,Slightly_Damaged,Excellent,QR112,JFK,JFK,Discard all opened bottles,Discard
0065,LIQU_1065,Singapore Airlines,SQ,Business,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,85%,Opened,Poor,Slightly_Damaged,Acceptable,SQ917,HKG,CDG,Keep if fill >85% and resealed,Keep
0066,WINE_1066,British Airways,BA,Business,Robert Mondavi Wine 1000ml,Wine,Robert Mondavi,1000,90%,Opened,Excellent,Heavily_Damaged,Acceptable,BA550,FRA,CDG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0067,LIQU_1067,Turkish Airlines,TK,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,60%,Opened,Good,Slightly_Damaged,Poor,TK372,JFK,IST,Discard all opened bottles,Discard
0068,SPIR_1068,Singapore Airlines,SQ,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,85%,Resealed,Good,Slightly_Damaged,Acceptable,SQ449,DXB,ZRH,Replace if fill <80% or label damaged,Replace
0069,SPIR_1069,Cathay Pacific,CX,First,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,60%,Resealed,Good,Heavily_Damaged,Acceptable,CX159,IST,HKG,Reuse if >70% fill and sealed,Keep
0070,SPIR_1070,Qatar Airways,QR,First,Absolut Spirits 1000ml,Spirits,Absolut,1000,50%,Opened,Poor,Slightly_Damaged,Poor,QR540,LHR,SIN,Replace if fill <80% or label damaged,Replace
0071,CHAM_1071,Emirates,EK,First,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,85%,Resealed,Good,Intact,Excellent,EK694,LHR,FRA,Replace if fill <80% or label damaged,Keep
0072,CHAM_1072,British Airways,BA,First,Taittinger Champagne 750ml,Champagne,Taittinger,750,65%,Opened,Excellent,Slightly_Damaged,Poor,BA687,FRA,HKG,Discard all opened bottles,Discard
0073,WINE_1073,Turkish Airlines,TK,First,Robert Mondavi Wine 1000ml,Wine,Robert Mondavi,1000,75%,Resealed,Excellent,Heavily_Damaged,Acceptable,TK636,FRA,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0074,SPIR_1074,Emirates,EK,Business,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,75%,Resealed,Poor,Intact,Acceptable,EK430,HKG,DXB,Discard all opened bottles,Discard
0075,CHAM_1075,Singapore Airlines,SQ,First,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,65%,Opened,Good,Intact,Excellent,SQ780,LHR,LHR,Discard all opened bottles,Discard
0076,LIQU_1076,Emirates,EK,First,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,50%,Resealed,Fair,Slightly_Damaged,Poor,EK930,CDG,JFK,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0077,LIQU_1077,Cathay Pacific,CX,Business,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,95%,Resealed,Poor,Intact,Excellent,CX122,FRA,FRA,Reuse if >70% fill and sealed,Keep
0078,SPIR_1078,Emirates,EK,Business,Absolut Spirits 750ml,Spirits,Absolut,750,95%,Sealed,Excellent,Heavily_Damaged,Excellent,EK976,IST,IST,Replace if fill <80% or label damaged,Replace
0079,CHAM_1079,Lufthansa,LH,Business,Moët & Chandon Champagne 750ml,Champagne,Moët & Chandon,750,50%,Sealed,Excellent,Slightly_Damaged,Poor,LH989,SIN,LHR,Replace if fill <80% or label damaged,Replace
0080,LIQU_1080,Cathay Pacific,CX,Business,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,80%,Sealed,Good,Heavily_Damaged,Acceptable,CX997,DOH,DOH,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0081,LIQU_1081,Etihad Airways,EY,Business,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,55%,Sealed,Poor,Heavily_Damaged,Excellent,EY645,SIN,IST,Refill if fill <90% using incoming bottles and reseal,Refill
0082,SPIR_1082,Etihad Airways,EY,First,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,90%,Opened,Fair,Intact,Excellent,EY144,FRA,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0083,WINE_1083,Singapore Airlines,SQ,Business,Cloudy Bay Wine 750ml,Wine,Cloudy Bay,750,55%,Sealed,Good,Slightly_Damaged,Excellent,SQ883,IST,FRA,Reuse if >70% fill and sealed,Keep
0084,WINE_1084,British Airways,BA,First,Château Rivière Wine 750ml,Wine,Château Rivière,750,75%,Opened,Excellent,Slightly_Damaged,Excellent,BA211,JFK,ZRH,Keep if fill >85% and resealed,Keep
0085,LIQU_1085,Cathay Pacific,CX,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,55%,Resealed,Excellent,Heavily_Damaged,Excellent,CX100,LHR,ZRH,Keep all sealed bottles unopened,Keep
0086,WINE_1086,Etihad Airways,EY,First,Cloudy Bay Wine 1000ml,Wine,Cloudy Bay,1000,80%,Resealed,Excellent,Heavily_Damaged,Acceptable,EY962,DOH,SIN,Keep all sealed bottles unopened,Keep
0087,SPIR_1087,British Airways,BA,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,75%,Resealed,Good,Slightly_Damaged,Excellent,BA839,SIN,DXB,Discard all opened bottles,Discard
0088,CHAM_1088,Air France,AF,Business,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,85%,Resealed,Poor,Intact,Acceptable,AF974,HKG,CDG,Reuse if >70% fill and sealed,Keep
0089,CHAM_1089,Singapore Airlines,SQ,First,Laurent-Perrier Champagne 750ml,Champagne,Laurent-Perrier,750,55%,Resealed,Fair,Intact,Acceptable,SQ923,JFK,SIN,Refill if fill between 60–80% and reseal,Refill
0090,WINE_1090,Air France,AF,First,Château Legrand Wine 1000ml,Wine,Château Legrand,1000,80%,Resealed,Fair,Slightly_Damaged,Poor,AF108,SIN,HKG,Refill if fill between 60–80% and reseal,Refill
0091,SPIR_1091,Cathay Pacific,CX,Business,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,75%,Opened,Excellent,Slightly_Damaged,Excellent,CX588,IST,DXB,Keep if fill >85% and resealed,Keep
0092,LIQU_1092,Cathay Pacific,CX,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,85%,Opened,Excellent,Intact,Acceptable,CX841,FRA,JFK,Refill if fill <90% using incoming bottles and reseal,Refill
0093,WINE_1093,Lufthansa,LH,First,Penfolds Wine 1000ml,Wine,Penfolds,1000,65%,Opened,Excellent,Slightly_Damaged,Excellent,LH241,LHR,JFK,"If fill 100% but opened, add 1 additional sealed bottle",Keep
0094,CHAM_1094,Cathay Pacific,CX,First,Laurent-Perrier Champagne 750ml,Champagne,Laurent-Perrier,750,60%,Resealed,Excellent,Heavily_Damaged,Excellent,CX556,SIN,IST,Reuse if >70% fill and sealed,Keep
0095,LIQU_1095,British Airways,BA,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,100%,Opened,Fair,Intact,Excellent,BA212,FRA,ZRH,Reuse if >70% fill and sealed,Keep
0096,LIQU_1096,Swiss Intl Air Lines,LX,Business,Disaronno Liqueur 750ml,Liqueur,Disaronno,750,50%,Opened,Fair,Intact,Acceptable,LX521,FRA,ZRH,Replace if fill <80% or label damaged,Replace
0097,CHAM_1097,Etihad Airways,EY,First,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,70%,Opened,Good,Heavily_Damaged,Excellent,EY627,DOH,LHR,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0098,CHAM_1098,Swiss Intl Air Lines,LX,First,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,85%,Sealed,Good,Slightly_Damaged,Acceptable,LX302,SIN,CDG,Keep all sealed bottles unopened,Keep
0099,CHAM_1099,Air France,AF,First,Veuve Clicquot Champagne 750ml,Champagne,Veuve Clicquot,750,100%,Resealed,Good,Heavily_Damaged,Poor,AF177,SIN,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0100,SPIR_1100,Lufthansa,LH,Business,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,80%,Sealed,Poor,Heavily_Damaged,Excellent,LH740,ZRH,DXB,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0101,CHAM_1101,Air France,AF,Business,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,50%,Resealed,Fair,Heavily_Damaged,Poor,AF245,LHR,HKG,Refill if fill <90% using incoming bottles and reseal,Refill
0102,SPIR_1102,British Airways,BA,Business,Absolut Spirits 750ml,Spirits,Absolut,750,55%,Sealed,Fair,Intact,Poor,BA662,FRA,LHR,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
0103,LIQU_1103,Cathay Pacific,CX,First,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,55%,Opened,Fair,Heavily_Damaged,Excellent,CX815,DOH,IST,Replace if fill <80% or label damaged,Replace
0104,WINE_1104,Etihad Airways,EY,First,Château Legrand Wine 1000ml,Wine,Château Legrand,1000,75%,Resealed,Poor,Heavily_Damaged,Poor,EY838,ZRH,IST,Discard all opened bottles,Discard
0105,CHAM_1105,Etihad Airways,EY,Business,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,60%,Sealed,Excellent,Intact,Acceptable,EY173,ZRH,DOH,Reuse if >70% fill and sealed,Keep
0106,SPIR_1106,Etihad Airways,EY,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,50%,Opened,Fair,Slightly_Damaged,Acceptable,EY134,DOH,IST,Keep if fill >85% and resealed,Keep
0107,CHAM_1107,Lufthansa,LH,Business,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,60%,Sealed,Excellent,Intact,Excellent,LH393,IST,DXB,Keep if fill >85% and resealed,Keep
0108,SPIR_1108,Lufthansa,LH,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,65%,Resealed,Excellent,Slightly_Damaged,Excellent,LH274,DXB,IST,Reuse if >70% fill and sealed,Keep
0109,LIQU_1109,Turkish Airlines,TK,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,95%,Opened,Good,Heavily_Damaged,Poor,TK492,SIN,IST,Reuse if >70% fill and sealed,Keep
0110,LIQU_1110,Etihad Airways,EY,Business,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,85%,Opened,Fair,Intact,Excellent,EY286,CDG,DOH,Keep if fill >85% and resealed,Keep
0111,LIQU_1111,Qatar Airways,QR,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,90%,Sealed,Fair,Slightly_Damaged,Excellent,QR241,JFK,IST,Keep all sealed bottles unopened,Keep
0112,WINE_1112,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,75%,Opened,Excellent,Intact,Acceptable,SQ435,DXB,DXB,Replace if fill <80% or label damaged,Replace
0113,LIQU_1113,Emirates,EK,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,85%,Opened,Poor,Slightly_Damaged,Poor,EK373,CDG,DXB,Keep all sealed bottles unopened,Keep
0114,SPIR_1114,Air France,AF,Business,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,60%,Sealed,Fair,Intact,Excellent,AF681,DOH,CDG,Reuse if >70% fill and sealed,Keep
0115,WINE_1115,Cathay Pacific,CX,Business,Château Legrand Wine 750ml,Wine,Château Legrand,750,65%,Resealed,Fair,Slightly_Damaged,Excellent,CX455,CDG,SIN,Keep if fill >85% and resealed,Keep
0116,SPIR_1116,Cathay Pacific,CX,First,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,95%,Sealed,Poor,Heavily_Damaged,Excellent,CX209,DXB,CDG,Refill if fill <90% using incoming bottles and reseal,Keep
0117,LIQU_1117,Air France,AF,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,50%,Resealed,Poor,Slightly_Damaged,Acceptable,AF447,FRA,DXB,Keep if fill >85% and resealed,Keep
0118,SPIR_1118,Swiss Intl Air Lines,LX,First,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,90%,Sealed,Poor,Slightly_Damaged,Excellent,LX460,SIN,SIN,Keep if fill >85% and resealed,Keep
0119,SPIR_1119,Cathay Pacific,CX,First,Tanqueray Spirits 1000ml,Spirits,Tanqueray,1000,70%,Resealed,Excellent,Intact,Poor,CX760,DOH,DOH,Keep all sealed bottles unopened,Keep
0120,LIQU_1120,Turkish Airlines,TK,Business,Baileys Liqueur 750ml,Liqueur,Baileys,750,50%,Opened,Good,Slightly_Damaged,Acceptable,TK220,HKG,FRA,Keep all sealed bottles unopened,Keep
